gene,mean_control,mean_diabetes,log2_fold_change,fold_change,pvalue,cohens_d,abs_log2_fc,pvalue_adj,significant,neg_log10_pval,neg_log10_pval_adj,category,avg_expression
RBP4,-0.33491175558536346,0.3349117555853636,0.6698235111707271,1.5908783391080297,0.0005106882491441926,0.7040084778478816,0.6698235111707271,0.15499597667873918,False,3.2918441350768033,0.8096795749193874,Not significant,8.326672684688674e-17
GENE19580,-0.2667835466122827,0.2667835466122841,0.5335670932245669,1.4475037574878522,0.00618913040183242,0.5482834611324658,0.5335670932245669,0.25145858070993005,False,2.2083703668467507,0.5995335400335464,Not significant,6.938893903907228e-16
GENE10869,-0.25036572971733595,0.2503657297173349,0.5007314594346708,1.4149307632388475,0.010366949135145437,0.5122064542381387,0.5007314594346708,0.27479370314788754,False,1.984349032300828,0.5609932232844597,Not significant,-5.273559366969494e-16
GENE05605,-0.245266367732848,0.2452663677328486,0.4905327354656966,1.404963582555424,0.012091572704136902,0.50109887794338,0.4905327354656966,0.29060646286278546,False,1.9175172084603427,0.5366947315574934,Not significant,3.0531133177191805e-16
GENE12735,-0.2422805856639563,0.24228058566395838,0.48456117132791465,1.3991602143031807,0.01321354644492673,0.4946157827360038,0.48456117132791465,0.29657867058284904,False,1.8789806044329629,0.5278600858810055,Not significant,1.0408340855860843e-15
IL1B,-0.23966491954307848,0.2396649195430798,0.4793298390861583,1.3940959302710358,0.014269889310851021,0.488948605221122,0.4793298390861583,0.3010181766798913,False,1.845579395622077,0.5214072791787988,Not significant,6.661338147750939e-16
GENE12477,-0.23538092429568772,0.23538092429568963,0.4707618485913774,1.3858411004651496,0.01615874119367764,0.4796911057140722,0.4707618485913774,0.3056701202516046,False,1.7915924748691923,0.514747012186801,Not significant,9.575673587391975e-16
GENE12232,-0.23408239754475815,0.23408239754475943,0.4681647950895176,1.3833486360992373,0.016772444355425867,0.47689093220669,0.4681647950895176,0.30916948120600674,False,1.775403640273174,0.5098033827937413,Not significant,6.38378239159465e-16
GENE11900,-0.22929631602539244,0.22929631602539,0.45859263205078243,1.3742006133285813,0.019211700230699704,0.46659328205690836,0.45859263205078243,0.31957835736960566,False,1.716434198483661,0.49542263984996715,Not significant,-1.2212453270876722e-15
GENE06314,-0.2286846760409707,0.2286846760409698,0.4573693520819405,1.3730359045351843,0.019544426845583617,0.46527988232302075,0.4573693520819405,0.31957835736960566,False,1.7089770610439687,0.49542263984996715,Not significant,-4.579669976578771e-16
GENE08263,-0.22421677756146902,0.2242167775614658,0.4484335551229348,1.3645578467962318,0.02212875083609007,0.4557032893725583,0.4484335551229348,0.32844924884349025,False,1.6550431012243434,0.48353172701741415,Not significant,-1.609823385706477e-15
GENE16188,-0.2227725571528253,0.2227725571528259,0.4455451143056512,1.361828578662207,0.02302442874119157,0.45261422289067077,0.4455451143056512,0.33009722070807396,False,1.6378111362723056,0.4813581322471754,Not significant,3.0531133177191805e-16
GENE10890,-0.22204479653239645,0.2220447965323968,0.44408959306479323,1.3604553356647073,0.023487406246526624,0.4510587936561118,0.44408959306479323,0.33269883911388437,False,1.6291649404389394,0.4779487145123429,Not significant,1.8041124150158794e-16
IL6,-0.22177635177313618,0.22177635177313604,0.4435527035462722,1.359949145307868,0.023660180103575453,0.45048525203143647,0.4435527035462722,0.33269883911388437,False,1.6259819538039766,0.4779487145123429,Not significant,-6.938893903907228e-17
GENE18050,-0.22147419640396349,0.22147419640396407,0.4429483928079275,1.3593796141526937,0.02385594890856399,0.44983981536749806,0.4429483928079275,0.3338831197839607,False,1.6224033040031067,0.4764055371300957,Not significant,2.914335439641036e-16
GENE00937,-0.22116464571783526,0.22116464571783542,0.4423292914356707,1.3587963909415264,0.024057942941332792,0.4491787227911473,0.4423292914356707,0.3342694350775854,False,1.6187415094741668,0.4759033326027888,Not significant,8.326672684688674e-17
