gene,control_mean,igt_mean,t2dm_mean,fc_control_igt,fc_igt_t2dm,fc_control_t2dm,p_control_igt,p_igt_t2dm,p_control_t2dm,trend
ENSG00000151834,60.285714285714285,35.973684210526315,4.256410256410256,-0.7290520137772386,-2.8143490210215054,-3.5434010347987437,0.05089163481068649,7.070148488985838e-06,8.842189864098381e-09,decreasing
ENSG00000081181,727.952380952381,686.8157894736842,240.05128205128204,-0.08380233841646151,-1.512682131850476,-1.5964844702669374,0.7228283468028085,3.1436099389365516e-10,3.4030088288076185e-06,decreasing
ENSG00000172575,1091.7619047619048,1038.7631578947369,467.0769230769231,-0.0717241532329846,-1.1514373971802254,-1.2231615504132098,0.7422450994392775,7.852352426662775e-08,6.8680823839263894e-06,decreasing
ENSG00000165195,1212.4761904761904,1057.8157894736842,500.02564102564105,-0.19669418762030502,-1.0794952708056342,-1.2761894584259392,0.35382924575225294,1.0049225287815875e-08,7.125932440655225e-06,decreasing
ENSG00000145888,166.23809523809524,156.21052631578948,82.35897435897436,-0.08920569788939282,-0.9152883870390975,-1.0044940849284902,0.7540843584048978,0.0025807751614349518,1.379721675595604e-05,decreasing
ENSG00000050165,176.04761904761904,451.1842105263158,530.1282051282051,1.3527731742411677,0.23214952799609928,1.584922702237267,0.0013927607283063382,0.31250817345524756,1.4430357001764653e-05,increasing
ENSG00000255829,22.714285714285715,21.394736842105264,10.76923076923077,-0.08259670104694346,-0.9281396836908175,-1.010736384737761,0.7073452188353886,3.122015767668369e-05,2.274247154513526e-05,decreasing
ENSG00000069424,54.61904761904762,90.97368421052632,154.23076923076923,0.7256420907179562,0.7551215141460519,1.480763604864008,0.009055773818236485,0.0010106411178993735,3.18130082146743e-05,increasing
ENSG00000170509,145.0,335.8157894736842,656.2051282051282,1.2059914024980676,0.9643839661515201,2.1703753686495877,0.027783404698044977,0.002715999714506665,3.65672264016987e-05,increasing
ENSG00000260878,5.0,3.3157894736842106,0.6410256410256411,-0.47533800954665795,-1.3950267100367466,-1.8703647195834048,0.19989512641175172,0.00020830723644345292,4.7906148545906856e-05,decreasing
ENSG00000127870,3633.2380952380954,3318.0,1587.974358974359,-0.13090431067506178,-1.0626527850815761,-1.1935570957566377,0.546345178134193,5.375906859126078e-07,5.7773088037414134e-05,decreasing
ENSG00000225968,1.7619047619047619,3.8684210526315788,11.538461538461538,0.8177903747239148,1.3648344890172588,2.182624863741174,0.12093034988073567,9.649690797453301e-05,6.976162475976661e-05,increasing
ENSG00000253882,19.61904761904762,15.5,8.23076923076923,-0.3215116725895112,-0.8379432418910272,-1.1594549144805384,0.16103749018129407,0.00011696707011681214,7.59283541668616e-05,decreasing
