gene,fc_control_igt,fc_igt_t2dm,p_control_igt,p_igt_t2dm,control_mean,igt_mean,t2dm_mean
ENSG00000262246,0.6389167353963974,-0.1992996964696135,0.00015245253366752296,0.13903028580278645,110.80952380952381,173.10526315789474,150.64102564102564
ENSG00000149489,1.083879720907025,-0.2821634171460786,0.0001553803860619779,0.12775485892212587,22.476190476190474,48.76315789473684,39.92307692307692
ENSG00000283959,0.8852403019548372,0.006873410367111113,0.0003217633776790904,0.9704733012423334,39.61904761904762,74.02631578947368,74.38461538461539
ENSG00000252329,-0.8556100906648251,0.3083001314230673,0.00034738405031262853,0.17263857156587664,1.2857142857142858,0.2631578947368421,0.5641025641025641
ENSG00000234694,0.782584090730584,-0.21740528473569395,0.00034923103032124614,0.18040204591366707,15.047619047619047,26.605263157894736,22.743589743589745
ENSG00000240625,0.7293524100563312,0.02141898363490559,0.0005159628760764187,0.9239418375018851,0.14285714285714285,0.8947368421052632,0.9230769230769231
ENSG00000265666,1.3199614739186292,-0.19617245143772089,0.0006566932848744706,0.459042274984405,3.0476190476190474,9.105263157894736,7.82051282051282
ENSG00000120725,0.5955192769319548,-0.21019375637452278,0.0006862941343982029,0.11013780033475436,589.7142857142857,891.578947368421,770.5641025641025
ENSG00000259236,0.8940665552509349,-0.1478986951123134,0.0007669696197098447,0.42348266033296866,15.142857142857142,29.0,26.076923076923077
ENSG00000007376,0.6419369005440214,-0.24108124920800075,0.0008748509247992029,0.10430777749910362,29.238095238095237,46.18421052631579,38.92307692307692
ENSG00000257433,0.6833539853358187,-0.20817891025063748,0.000906559441053046,0.14351248540268924,21.761904761904763,35.55263157894737,30.641025641025642
ENSG00000074071,0.5494882790570536,-0.1876031924448977,0.0011209227701864403,0.11847868382351649,154.1904761904762,226.1315789473684,198.43589743589743
ENSG00000267667,0.8653476273009888,-0.1801182986726867,0.0012124630975414684,0.4030337415341242,5.904761904761905,11.578947368421053,10.102564102564102
ENSG00000059915,0.5799678685914663,-0.013621046037657158,0.0012289653369081592,0.9234588702686102,119.38095238095238,178.94736842105263,177.25641025641025
ENSG00000168487,0.6509714266761752,-0.14701087772368776,0.001262216384605879,0.3998091682811522,49.42857142857143,78.1842105263158,70.51282051282051
ENSG00000277453,0.962013166846606,-0.3149053323289604,0.0013280717920865171,0.20332319841372917,4.714285714285714,10.131578947368421,7.948717948717949
ENSG00000050165,1.3527731742411677,0.23214952799609928,0.0013927607283063382,0.31250817345524756,176.04761904761904,451.1842105263158,530.1282051282051
ENSG00000230637,0.6696878446601421,0.014772388415043088,0.0014322598317082517,0.9299014806649553,29.952380952380953,48.23684210526316,48.743589743589745
ENSG00000124205,0.7587876560834333,-0.0810615228773669,0.001433189130801964,0.6718801810688246,1571.4761904761904,2659.7368421052633,2514.358974358974
ENSG00000248712,0.8666589922946791,0.11826568724322241,0.0014495833776733838,0.5431340470840862,41.285714285714285,76.10526315789474,82.6923076923077
ENSG00000205485,0.6576782119233582,-0.25388083168937947,0.001453269756176074,0.11107131760638668,15.047619047619047,24.31578947368421,20.23076923076923
ENSG00000172889,1.0878993550969056,-0.3775450473429348,0.0014592835398372192,0.11854409379391403,43.333333333333336,93.23684210526316,71.53846153846153
ENSG00000127946,0.7041501799057523,-0.07182154561335889,0.0015552550331077337,0.6956689441931823,179.57142857142858,293.1842105263158,278.8974358974359
ENSG00000177303,0.7093073301660986,-0.1668739234865539,0.0015593885173626853,0.24883638248704207,42.714285714285715,70.47368421052632,62.666666666666664
ENSG00000183484,1.4663180042225374,-0.1962669645263522,0.0016056270886294583,0.5051612017918744,2.380952380952381,8.342105263157896,7.153846153846154
ENSG00000282033,0.795625629475497,-0.24619218985803426,0.0016225346678712055,0.20139788883302806,2.7142857142857144,5.447368421052632,4.435897435897436
ENSG00000118523,1.3002526510660548,-0.35216528769180716,0.0016534900411822027,0.2388472290666073,404.2857142857143,997.1052631578947,780.9230769230769
ENSG00000205913,0.6220756737382557,-0.15337382517846465,0.0016736134577468775,0.4130352295395171,13.619047619047619,21.5,19.23076923076923
ENSG00000248245,0.8891328540931003,0.2797920120988366,0.001677310626435933,0.5074913726172576,2.5238095238095237,5.526315789473684,6.923076923076923
