ensembl,variance,mutual_info,f_test,rf_importance,combined_score
ENSG00000134121,1.4463091277213432e-07,0.5536396850884161,0.8627925283028623,1.0,0.6041080895055478
ENSG00000147003,2.0300452649895176e-07,0.8053116516684171,0.746011172953672,0.7595559329297381,0.5777197401390884
ENSG00000135472,7.055905709184752e-09,0.9193684476128814,0.45803668091450106,0.7549702550569278,0.533093847660054
ENSG00000081181,6.206802217922444e-08,0.8875569880611422,0.8732583557048605,0.3294314405841983,0.5225617116045559
ENSG00000165195,1.6600077032301807e-07,0.545819962497396,0.8983838071007872,0.6437366918593416,0.5219851568645738
ENSG00000163581,1.5021751576262052e-07,0.6946175847724861,1.0,0.35000391953419013,0.511155413631048
ENSG00000127870,2.0825875247870023e-06,0.9288156329586235,0.6059415650424164,0.46388047048786457,0.4996599377691073
ENSG00000010282,9.626616539431813e-09,0.5352043954416766,0.6158787195499957,0.8279951129109017,0.4947695593822976
ENSG00000171227,3.329671310323059e-08,1.0,0.9079957786595265,0.0,0.4769989529890599
ENSG00000146476,8.817564236241061e-08,0.5407714415355988,0.3684406400704466,0.961672901774172,0.46772126788896495
ENSG00000170509,8.172763277966004e-08,0.45775688039990187,0.49839842915766736,0.7655996503458138,0.430438760407754
ENSG00000120053,1.4720072290128283e-07,0.40518792183144037,0.40191305074882433,0.8740818205239317,0.42029573507622986
ENSG00000172575,1.5220725271929786e-07,0.5355516925961901,0.7332044438175317,0.36597696684801734,0.40868331386724793
ENSG00000168175,1.333806165735049e-06,0.8625039316292211,0.16573542129080274,0.5650110268465091,0.39831292839317467
ENSG00000138796,5.051486852743784e-05,0.24166406359797848,0.343321146357548,0.9226954576324207,0.37693279561411863
ENSG00000050165,2.783963599216387e-08,0.5817367931179234,0.36254754344525625,0.5597620775124467,0.3760116104788156
ENSG00000127328,2.670863193393579e-07,0.78786991577822,0.2763147058484385,0.3982335872291253,0.36560461898552576
ENSG00000135447,3.924485726345497e-07,0.7156470958198343,0.6792002810045948,0.0,0.3487119423182504
ENSG00000107951,3.216183385121416e-07,0.5922300447160319,0.2392548151541267,0.525438922994634,0.3392310261207828
ENSG00000136872,1.1803479984438228e-06,0.28957003999799935,0.37758071283899836,0.6876011486220597,0.338688270451764
ENSG00000070159,9.163235521091593e-08,0.4011009678235383,0.5406591939222622,0.38129244683280444,0.33076317505274005
ENSG00000009844,1.3320935970443084e-07,0.5998272388625567,0.21935819765850775,0.4891469159987536,0.32708312143229445
ENSG00000171766,5.427696171466783e-06,0.8880985588247954,0.13321047720217627,0.2823369934684924,0.3259128642979089
ENSG00000121579,6.866954198725268e-08,0.4713938365159771,0.18911253101497924,0.6260391209188803,0.3216363892798446
ENSG00000146072,3.411814643882276e-07,0.6257179657759102,0.44321626043746465,0.2106684121698304,0.3199007448911674
ENSG00000105467,4.855345207620514e-08,0.4376209106296774,0.6122212077095253,0.2153289617748645,0.31629278216687984
ENSG00000174827,1.6437519429960724e-08,0.6105540111000048,0.23223849392710472,0.38461434538038247,0.3068517167112529
ENSG00000079689,0.00024336824060660887,0.6014189033477367,0.32215000097009017,0.3024707729615622,0.30657076137999895
ENSG00000123836,7.959393923001316e-05,0.4905873336296094,0.5540930578143372,0.16970814030597994,0.30361703142228913
ENSG00000165949,6.075694418380953e-07,0.4220467807836546,0.21120131571888964,0.5739428641933804,0.3017978920663416
ENSG00000196177,2.233319364111838e-08,0.2796626513631914,0.4980617344123678,0.42937020231852346,0.3017736526068191
ENSG00000141433,3.2839502217100524e-06,0.23362465637263227,0.34863797020104553,0.6109655169360316,0.2983078568649828
ENSG00000177459,1.7393114941550585e-07,0.4262152191680264,0.38919605614789254,0.3727486607412312,0.29704002749707487
ENSG00000166181,5.041283180565814e-07,0.4575863767314631,0.1970246509608704,0.531902617664056,0.2966285373711769
ENSG00000137573,2.887254164997404e-08,0.10023525735614888,0.25031231096676365,0.8346357502185904,0.29629583685351113
ENSG00000138670,4.0059589289934554e-07,0.3761035129281381,0.5577575658443285,0.24271044959434723,0.2941429822406767
ENSG00000055732,1.4115962499359687e-07,0.26155521109930424,0.3352905346708434,0.5639711096897017,0.29020424915486853
ENSG00000101166,2.028117087558729e-06,0.5409396084520289,0.22395872316213933,0.39215634883012573,0.28926417714034536
ENSG00000109501,2.0156400853704858e-07,0.26423422783558714,0.24899227009872982,0.639035672740379,0.2880655930596761
ENSG00000115263,1.0,0.0408168279392769,0.0894749755121256,0.0,0.2825729508628506
